contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,symbol,option_type,expiration,snapshot_ts_utc,underlying_price,T_years
NVDA260227C00050000,2026-02-27 19:06:12+00:00,50.0,128.0,125.15,129.1,-6.970001,-5.1641116,21.0,37.0,15.632812729492187,True,REGULAR,USD,NVDA,call,2026-02-27,2026-02-27T21:57:44Z,177.19000244140625,0.0
NVDA260227C00055000,2026-02-27 17:08:00+00:00,55.0,125.75,119.75,124.1,-8.5,-6.331471,7.0,7.0,14.527344670410159,True,REGULAR,USD,NVDA,call,2026-02-27,2026-02-27T21:57:44Z,177.19000244140625,0.0
NVDA260227C00060000,2026-02-26 14:46:37+00:00,60.0,120.55,114.75,119.1,-9.020004,-6.961491,40.0,52.0,13.525392171630859,True,REGULAR,USD,NVDA,call,2026-02-27,2026-02-27T21:57:44Z,177.19000244140625,0.0
NVDA260227C00065000,2026-02-27 20:43:54+00:00,65.0,113.43,109.75,114.1,-14.620003,-11.417417,1.0,4.0,12.611330242919925,True,REGULAR,USD,NVDA,call,2026-02-27,2026-02-27T21:57:44Z,177.19000244140625,0.0
NVDA260227C00070000,2026-02-26 20:41:33+00:00,70.0,111.98,104.75,109.1,-3.0199966,-2.626084,20.0,23.0,11.769533894042969,True,REGULAR,USD,NVDA,call,2026-02-27,2026-02-27T21:57:44Z,177.19000244140625,0.0
NVDA260227C00075000,2026-02-27 17:27:43+00:00,75.0,105.45,99.75,104.1,-11.100006,-9.523814,2.0,5.0,10.990237506103517,True,REGULAR,USD,NVDA,call,2026-02-27,2026-02-27T21:57:44Z,177.19000244140625,0.0
NVDA260227C00080000,2026-02-27 20:02:15+00:00,80.0,99.53,94.75,99.1,-13.470001,-11.920355,18.0,11.0,10.261722336425784,True,REGULAR,USD,NVDA,call,2026-02-27,2026-02-27T21:57:44Z,177.19000244140625,0.0
NVDA260227C00085000,2026-02-27 19:58:30+00:00,85.0,94.91,89.75,94.1,-6.6399994,-6.53865,8.0,29.0,9.58203526123047,True,REGULAR,USD,NVDA,call,2026-02-27,2026-02-27T21:57:44Z,177.19000244140625,0.0
NVDA260227C00090000,2026-02-27 20:13:47+00:00,90.0,89.26,85.1,89.1,-6.209999,-6.5046597,23.0,32.0,8.937504414062499,True,REGULAR,USD,NVDA,call,2026-02-27,2026-02-27T21:57:44Z,177.19000244140625,0.0
NVDA260227C00095000,2026-02-27 20:14:52+00:00,95.0,84.19,81.05,82.8,-12.409996,-12.846787,160.0,7.0,6.570314287109376,True,REGULAR,USD,NVDA,call,2026-02-27,2026-02-27T21:57:44Z,177.19000244140625,0.0
NVDA260227C00100000,2026-02-27 20:07:19+00:00,100.0,79.12,75.0,79.1,-7.5599976,-8.721732,50.0,36.0,7.751953435058594,True,REGULAR,USD,NVDA,call,2026-02-27,2026-02-27T21:57:44Z,177.19000244140625,0.0
NVDA260227C00105000,2026-02-27 20:15:05+00:00,105.0,74.21,70.7,74.1,-13.239998,-15.140078,116.0,52.0,4.73437908203125,True,REGULAR,USD,NVDA,call,2026-02-27,2026-02-27T21:57:44Z,177.19000244140625,0.0
NVDA260227C00110000,2026-02-27 19:49:34+00:00,110.0,69.49,65.85,69.15,-6.5699997,-8.6379175,73.0,47.0,4.62500421875,True,REGULAR,USD,NVDA,call,2026-02-27,2026-02-27T21:57:44Z,177.19000244140625,0.0
NVDA260227C00115000,2026-02-27 20:20:32+00:00,115.0,63.89,61.25,64.1,-13.559998,-17.508068,71.0,42.0,4.5859417675781255,True,REGULAR,USD,NVDA,call,2026-02-27,2026-02-27T21:57:44Z,177.19000244140625,0.0
NVDA260227C00120000,2026-02-27 20:34:34+00:00,120.0,58.5,55.75,57.9,-7.4000015,-11.229136,163.0,353.0,4.51562935546875,True,REGULAR,USD,NVDA,call,2026-02-27,2026-02-27T21:57:44Z,177.19000244140625,0.0
NVDA260227C00125000,2026-02-27 20:14:13+00:00,125.0,53.75,50.75,54.15,-8.009998,-12.969557,140.0,22.0,3.4218764453125,True,REGULAR,USD,NVDA,call,2026-02-27,2026-02-27T21:57:44Z,177.19000244140625,0.0
NVDA260227C00130000,2026-02-27 19:59:07+00:00,130.0,49.51,46.25,47.8,-6.540001,-11.668156,90.0,208.0,3.615235336914063,True,REGULAR,USD,NVDA,call,2026-02-27,2026-02-27T21:57:44Z,177.19000244140625,0.0
NVDA260227C00135000,2026-02-27 20:23:29+00:00,135.0,44.5,40.2,44.1,-7.5999985,-14.58733,43.0,54.0,4.298832751464843,True,REGULAR,USD,NVDA,call,2026-02-27,2026-02-27T21:57:44Z,177.19000244140625,0.0
NVDA260227C00140000,2026-02-27 20:34:23+00:00,140.0,38.1,36.0,39.1,-6.6900024,-14.936375,165.0,1488.0,2.5976597558593753,True,REGULAR,USD,NVDA,call,2026-02-27,2026-02-27T21:57:44Z,177.19000244140625,0.0
NVDA260227C00145000,2026-02-27 20:59:21+00:00,145.0,31.65,32.05,33.75,-8.949999,-22.044333,119.0,689.0,2.626956557617188,True,REGULAR,USD,NVDA,call,2026-02-27,2026-02-27T21:57:44Z,177.19000244140625,0.0
NVDA260227C00150000,2026-02-27 20:59:37+00:00,150.0,27.0,27.05,27.3,-8.0,-22.857143,400.0,1283.0,1.5781271093749998,True,REGULAR,USD,NVDA,call,2026-02-27,2026-02-27T21:57:44Z,177.19000244140625,0.0
NVDA260227C00155000,2026-02-27 19:38:32+00:00,155.0,21.95,22.05,23.7,-7.8199997,-26.268055,249.0,220.0,1.9033207958984377,True,REGULAR,USD,NVDA,call,2026-02-27,2026-02-27T21:57:44Z,177.19000244140625,0.0
NVDA260227C00157500,2026-02-27 20:55:59+00:00,157.5,19.23,19.6,19.75,-8.02,-29.431194,165.0,58.0,1.0703171484375003,True,REGULAR,USD,NVDA,call,2026-02-27,2026-02-27T21:57:44Z,177.19000244140625,0.0
NVDA260227C00160000,2026-02-27 20:58:01+00:00,160.0,16.85,17.1,17.2,-8.1,-32.46493,1090.0,3465.0,0.7500025,True,REGULAR,USD,NVDA,call,2026-02-27,2026-02-27T21:57:44Z,177.19000244140625,0.0
NVDA260227C00162500,2026-02-27 20:55:59+00:00,162.5,14.35,14.6,14.7,-8.699999,-37.74403,137.0,131.0,0.648441015625,True,REGULAR,USD,NVDA,call,2026-02-27,2026-02-27T21:57:44Z,177.19000244140625,0.0
